,,,,
,,,,
Source,,Technology,,All prices are in €2016
,,,,
,,,,
Technology,Modeling Year,Capital Cost in €/MWh,,
Hydro_reservoir,2015,0,,
Hydro_reservoir,2020,0,,
Hydro_reservoir,2025,0,,
Hydro_reservoir,2030,0,,
Hydro_reservoir,2035,0,,
Hydro_reservoir,2040,0,,
Battery,2015,300000,,
Battery,2020,250000,,
Battery,2025,230000,,
Battery,2030,210000,,
Battery,2035,200000,,
Battery,2040,190000,,
CSP_thermal_storage,2015,0,,
CSP_thermal_storage,2020,0,,
CSP_thermal_storage,2025,0,,
CSP_thermal_storage,2030,0,,
CSP_thermal_storage,2035,0,,
CSP_thermal_storage,2040,0,,
