Annual capacity restrictions ,,,,
Values in MW,,,,
Unconstrained,,,,
Min,Wind,PV centralized,PV decentralized,CSP
2015,0,0,0,0
2020,0,0,0,0
2025,0,0,0,0
2030,0,0,0,0
2035,0,0,0,0
2040,0,0,0,0
Max,Wind,PV centralized,PV decentralized,CSP
2015,999999999,999999999,999999999,999999999
2020,999999999,999999999,999999999,999999999
2025,999999999,999999999,999999999,999999999
2030,999999999,999999999,999999999,999999999
2035,999999999,999999999,999999999,999999999
2040,999999999,999999999,999999999,999999999
TSP – min,,,,
Min,Wind,PV centralized,PV decentralized,CSP
2015,245,0,30,0
2020,775,250,155,0
2025,1305,555,302,150
2030,1755,868,642,450
2035,0,0,0,0
2040,0,0,0,0
Max,Wind,PV centralized,PV decentralized,CSP
2015,8000,3000,3000,5000
2020,8000,3000,3000,5000
2025,8000,3000,3000,5000
2030,8000,3000,3000,5000
2035,8000,3000,3000,5000
2040,8000,3000,3000,5000
TSP – forced decentralized PV expansion,,,,
Min,Wind,PV centralized,PV decentralized,CSP
2015,245,0,30,0
2020,775,250,155,0
2025,1305,555,500,150
2030,1755,868,1500,450
2035,0,0,2000,0
2040,0,0,2500,0
Max,Wind,PV centralized,PV decentralized,CSP
2015,8000,3000,3000,5000
2020,8000,3000,3000,5000
2025,8000,3000,3000,5000
2030,8000,3000,3000,5000
2035,8000,3000,3000,5000
2040,8000,3000,3000,5000
