"V1","V2","V3","V4"
0.674,0.1205,0.5467,0.5922
0.6657,0.1224,0.5418,0.6015
0.6416,0.1341,0.5433,0.6106
0.6145,0.1503,0.5416,0.6177
0.5936,0.1645,0.5433,0.6212
0.5784,0.1422,0.5865,0.6026
0.5658,0.1492,0.6693,0.5893
0.5304,0.1612,0.6908,0.5655
0.4635,0.1601,0.6916,0.5098
0.4799,0.1675,0.6894,0.4069
0.4575,0.1806,0.6904,0.3467
0.4915,0.1955,0.6879,0.3321
0.5471,0.2126,0.6864,0.354
0.5636,0.2331,0.6868,0.3705
0.568,0.2524,0.6832,0.3432
0.5737,0.2595,0.6837,0.2885
0.6192,0.2661,0.6828,0.2247
0.6608,0.2874,0.6826,0.1768
0.6884,0.3293,0.6775,0.1702
0.7204,0.3382,0.6639,0.1584
0.7774,0.3035,0.6543,0.1401
0.8093,0.2509,0.6347,0.1316
0.8136,0.1935,0.617,0.1247
0.8057,0.1467,0.6141,0.1173
0.7905,0.1211,0.6168,0.1095
0.8016,0.1176,0.6243,0.1061
0.8106,0.1223,0.6301,0.1072
0.8101,0.1212,0.6206,0.1088
0.8179,0.1142,0.5954,0.1108
0.8292,0.0842,0.5692,0.1033
0.8246,0.0968,0.5957,0.0757
0.8095,0.1198,0.5689,0.0554
0.8314,0.121,0.5382,0.0432
0.879,0.1268,0.5112,0.04
0.9263,0.1487,0.4891,0.0269
0.9584,0.1782,0.4836,0.0182
0.9687,0.2152,0.4712,0.0188
0.9697,0.2542,0.4507,0.0367
0.964,0.292,0.4243,0.0813
0.9051,0.3252,0.4085,0.1191
0.8258,0.3511,0.3883,0.1481
0.8135,0.374,0.3471,0.1932
0.8215,0.3759,0.2944,0.2167
0.7999,0.3578,0.2589,0.1987
0.7681,0.3271,0.2322,0.1704
0.7236,0.2897,0.2044,0.1738
0.6761,0.258,0.1784,0.2016
0.6443,0.2368,0.1674,0.2263
0.6303,0.2218,0.1721,0.2464
0.6167,0.2042,0.1768,0.2694
0.5992,0.1787,0.1731,0.2832
0.6012,0.1516,0.1668,0.2818
0.6018,0.1329,0.1649,0.2777
0.5866,0.1038,0.1472,0.268
0.5601,0.1149,0.1438,0.2827
0.508,0.1471,0.1395,0.271
0.4566,0.1652,0.1149,0.251
0.4742,0.1789,0.0746,0.2252
0.4771,0.1987,0.0518,0.2049
0.4821,0.2257,0.0595,0.2007
0.5044,0.2604,0.0797,0.2163
0.537,0.2948,0.0981,0.2495
0.5685,0.318,0.1014,0.2951
0.5973,0.3239,0.0944,0.3322
0.6228,0.3279,0.0928,0.3682
0.6279,0.3344,0.1483,0.3797
0.6251,0.3237,0.2706,0.3417
0.6281,0.296,0.3173,0.2871
0.6343,0.2522,0.3074,0.2427
0.6273,0.2082,0.2901,0.2167
0.6303,0.1732,0.2938,0.2071
0.6564,0.1425,0.276,0.2015
